kernel,height,width,tile_size,total_time,hw_time,pack_time,unpack_time,tiles,speedup_vs_hw,speedup_vs_sw,overhead_time,compute_ratio,overhead_ratio
Sobel X,512,512,128,0.05085420608520508,0.01133108139038086,0.014438152313232422,0.002742767333984375,25,0.15344728970735777,369.87294770696394,0.03952312469482422,0.22281502873913492,0.777184971260865
Sobel Y,512,512,128,0.050945281982421875,0.011426448822021484,0.01428079605102539,0.0029392242431640625,25,0.1435511044552602,369.31914077124674,0.03951883316040039,0.22428865593410707,0.7757113440658929
Gaussian,512,512,128,0.05131053924560547,0.011395931243896484,0.014734268188476562,0.002749919891357422,25,0.14180436035165325,369.90599037228407,0.039914608001708984,0.22209728082077207,0.7779027191792279
Sobel X,512,512,256,0.023869037628173828,0.006033420562744141,0.006397247314453125,0.0021696090698242188,9,0.3269273028747228,788.0332421040015,0.017835617065429688,0.2527718401022834,0.7472281598977166
Sobel Y,512,512,256,0.023868083953857422,0.006016731262207031,0.006329536437988281,0.0022897720336914062,9,0.30640295674757767,788.29401658176,0.01785135269165039,0.2520827090200779,0.7479172909799221
Gaussian,512,512,256,0.023850440979003906,0.005943775177001953,0.0064105987548828125,0.0021715164184570312,9,0.30507017473709463,795.7955935863089,0.017906665802001953,0.24921028429765285,0.7507897157023472
Sobel X,1024,1024,64,0.6021261215209961,0.12142038345336914,0.17127037048339844,0.020140647888183594,324,,,0.48070573806762695,0.20165274203128095,0.7983472579687191
Sobel Y,1024,1024,64,0.6021513938903809,0.12116098403930664,0.17290687561035156,0.019780635833740234,324,,,0.4809904098510742,0.20121349094039212,0.7987865090596079
Gaussian,1024,1024,64,0.5994873046875,0.1206655502319336,0.17156696319580078,0.020395755767822266,324,,,0.4788217544555664,0.20128124363673386,0.7987187563632662
Sobel X,1024,1024,128,0.1671614646911621,0.038669586181640625,0.047245025634765625,0.010463714599609375,81,,,0.12849187850952148,0.23133074511571386,0.7686692548842862
Sobel Y,1024,1024,128,0.16736459732055664,0.038379669189453125,0.047406673431396484,0.01042795181274414,81,,,0.12898492813110352,0.22931772790600274,0.7706822720939972
Gaussian,1024,1024,128,0.16694307327270508,0.038616180419921875,0.047263145446777344,0.010422229766845703,81,,,0.1283268928527832,0.23131346310392598,0.768686536896074
